stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.891023,2,93715,-78.849841,,,,,Ritson Southbound @ Olive,0,937151,
43.892222,1,93346,-78.807249,,,,,Townline Southbound @ Bloor (North side stop),0,93346:1,
43.819466,1,93509,-79.072332,,,,,Sandy Beach Northbound @ Parkham,0,93509:1,
43.883495,1,93249,-78.91435,,,,,Southbound @ 164 Glen Hill,0,932491,
43.953127,2,491,-78.962199,,,,,Baldwin Northbound @ Winchester,0,491:1,
43.89543,1,93344,-78.801268,,,,,Glenabbey Eastbound @ Auburn,0,93344:1,
43.890577,1,93160,-79.027818,,,,,Southbound @ 1508 Salem,0,93160:1,
43.850484,1,93158,-78.989691,,,,,Bayly Westbound @ Audley,0,93158:1,
43.905525,1,1195,-78.828657,,,,,King Eastbound @ Melrose,0,1195:1,
43.922083,1,589,-78.85358,,,,,Terrace Westbound @ Canonberry,0,589:1,
43.847892,1,2312,-79.00124,,,,,Bayly Westbound @ Boone,0,2312:1,
43.84355324,1,2096,-79.006018,,,,,Pickering Beach Northbound @ Greenhalf,0,2096:1,
43.920769,1,587,-78.846996,,,,,Rossland Westbound @ Attersley,0,587:1,
43.832884,1,1766,-79.068809,,,,,Bayly Westbound @ Brock Road,0,1766:1,
43.825588,2,93498,-79.060628,,,,,Eastbound @ 1845 Clements,0,93498:1,
43.830365,1,2029,-79.003947,,,,,Clover Ridge Southbound @ Bryant,0,2029:1,
43.801976,2,93979,-79.200526,,,,,Sheppard Westbound @ Morningside,0,939791,
44.09201925,1,2745,-78.94179818,,,,,Simcoe Southbound @ Greenway,0,2745:1,
