block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,direction_name
a_12015_Timetable_-_2022-03,110,1,0,Pickering Parkway Terminal,100.0.1263064133_Timetable_-_2022-03,Saturday Plus,5477__12015_Timetable_-_2022-03,Eastbound
b_14004_Timetable_--_2022-04,920,1,0,Harmony Terminal,100.0.15478202611_Timetable_--_2022-04,Weekday,9420__14004_Timetable_--_2022-04,Eastbound
a_3615_Timetable_-_2022-03,302,1,1,Whitby Station,100.0.1433262815_Timetable_-_2022-03,Sunday Plus,7066__3615_Timetable_-_2022-03,Southbound
a_72914_Timetable_-_2022-03,915,1,1,Ajax Station,100.0.1046830191_Timetable_-_2022-03,Sunday Minus,9920__72914_Timetable_-_2022-03,Westbound
a_14016_Timetable_-_2022-03,407,1,1,A - Farewell & Raleigh via Colonel Sam Drive,100.0.1046829532_Timetable_-_2022-03,Saturday Plus,5937__14016_Timetable_-_2022-03,Southbound
a_72007_Timetable_-_2022-03,216,1,1,Ajax Station,100.0.1046828842_Timetable_-_2022-03,Sunday Minus,7818__72007_Timetable_-_2022-03,Southbound
a_64005_Timetable_-_2022-03,405,1,0,Harmony Terminal,100.0.1046829421_Timetable_-_2022-03,Sunday Plus,8046__64005_Timetable_-_2022-03,Northbound
b_72909_Timetable_--_2022-04,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_--_2022-04,Sunday,8643__72909_Timetable_--_2022-04,Eastbound
b_62012_Timetable_--_2022-04,120,1,0,Sunbird Trail,100.0.1046828733_Timetable_--_2022-04,Saturday,6938__62012_Timetable_--_2022-04,Northbound
b_64007_Timetable_--_2022-04,403,1,1,Oshawa Station,100.0.1046829271_Timetable_--_2022-04,Saturday,7781__64007_Timetable_--_2022-04,Southbound
b_64018_Timetable_--_2022-04,902,1,0,A - Simpson Avenue via Oshawa Centre Terminal,100.0.11522185210_Timetable_--_2022-04,Saturday,7912__64018_Timetable_--_2022-04,Eastbound
a_14911_Timetable_-_2022-03,901,1,0,Ontario Tech/Durham College North Campus,100.0.11903131612_Timetable_-_2022-03,Saturday Plus,6300__14911_Timetable_-_2022-03,Northbound
b_74010_Timetable_--_2022-04,405,1,1,C - Oshawa Centre Terminal via Delpark Homes Centre,100.0.1046829424_Timetable_--_2022-04,Sunday,7644__74010_Timetable_--_2022-04,Southbound
b_12019_Timetable_--_2022-04,224,1,0,Taunton,100.0.1190313705_Timetable_--_2022-04,Weekday,5430__12019_Timetable_--_2022-04,Eastbound
b_14023_Timetable_--_2022-04,405,1,1,C - Oshawa Centre Terminal via Delpark Homes Centre,100.0.1046829424_Timetable_--_2022-04,Weekday,5582__14023_Timetable_--_2022-04,Southbound
a_14026_Timetable_-_2022-03,902,1,0,A - Simpson Avenue via Oshawa Centre Terminal,100.0.11522185210_Timetable_-_2022-03,Saturday Plus,6449__14026_Timetable_-_2022-03,Eastbound
b_72910_Timetable_--_2022-04,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_--_2022-04,Sunday,8687__72910_Timetable_--_2022-04,Eastbound
b_62013_Timetable_--_2022-04,110,1,1,Sunbird Trail,100.0.1263064131_Timetable_--_2022-04,Saturday,7042__62013_Timetable_--_2022-04,Westbound
b_64003_Timetable_--_2022-04,411,1,0,Trulls & Highway  2,100.0.1393318752_Timetable_--_2022-04,Saturday,9310__64003_Timetable_--_2022-04,Eastbound
a_64009_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Sunday Plus,8287__64009_Timetable_-_2022-03,Southbound
a_62014_Timetable_-_2022-03,917,1,1,Pickering Parkway Terminal,100.0.1046831481_Timetable_-_2022-03,Sunday Plus,6795__62014_Timetable_-_2022-03,Westbound
a_74009_Timetable_-_2022-03,410,1,0,Harmony Terminal,100.0.1046829821_Timetable_-_2022-03,Sunday Minus,7991__74009_Timetable_-_2022-03,Northbound
b_14903_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,2.0.12015901_Timetable_--_2022-04,Weekday,5812__14903_Timetable_--_2022-04,Northbound
a_62014_Timetable_-_2022-03,917,1,1,Pickering Parkway Terminal,100.0.1046831481_Timetable_-_2022-03,Sunday Plus,6738__62014_Timetable_-_2022-03,Westbound
a_12021_Timetable_-_2022-03,216,1,0,Taunton,100.0.1046828841_Timetable_-_2022-03,Saturday Plus,5655__12021_Timetable_-_2022-03,Northbound
a_72005_Timetable_-_2022-03,216,1,0,Taunton,100.0.1046828841_Timetable_-_2022-03,Sunday Minus,7805__72005_Timetable_-_2022-03,Northbound
b_12004_Timetable_--_2022-04,224,1,1,A - Ajax Station via Lake Driveway,100.0.12969900210_Timetable_--_2022-04,Weekday,5469__12004_Timetable_--_2022-04,Westbound
a_3722_Timetable_-_2022-03,302,1,1,Whitby Station,100.0.1433262815_Timetable_-_2022-03,Sunday Minus,7164__3722_Timetable_-_2022-03,Southbound
a_74004_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Sunday Minus,8388__74004_Timetable_-_2022-03,Southbound
b_62006_Timetable_--_2022-04,216,1,0,Taunton,100.0.1046828841_Timetable_--_2022-04,Saturday,7269__62006_Timetable_--_2022-04,Northbound
a_14803_Timetable_-_2022-03,900,1,1,B - Pickering Town Centre,100.0.11522189610_Timetable_-_2022-03,Saturday Plus,9551__14803_Timetable_-_2022-03,Westbound
a_72904_Timetable_-_2022-03,900,1,0,Oshawa,100.0.11903138911_Timetable_-_2022-03,Sunday Minus,8806__72904_Timetable_-_2022-03,Eastbound
a_74904_Timetable_-_2022-03,901,1,0,Ontario Tech/Durham College North Campus,100.0.11903131612_Timetable_-_2022-03,Sunday Minus,8981__74904_Timetable_-_2022-03,Northbound
a_72906_Timetable_-_2022-03,915,1,0,Harmony Terminal,100.0.1046830199_Timetable_-_2022-03,Sunday Minus,9163__72906_Timetable_-_2022-03,Eastbound
b_64904_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,2.0.12015901_Timetable_--_2022-04,Saturday,8383__64904_Timetable_--_2022-04,Northbound
b_12028_Timetable_--_2022-04,916,1,1,Pickering Parkway Terminal,100.0.1046830329161_Timetable_--_2022-04,Weekday,9138__12028_Timetable_--_2022-04,Westbound
a_12018_Timetable_-_2022-03,103,1,1,Pine Grove Avenue,100.0.1383072901_Timetable_-_2022-03,Saturday Plus,5412__12018_Timetable_-_2022-03,Westbound
a_12013_Timetable_-_2022-03,110,1,0,Pickering Parkway Terminal,100.0.1263064133_Timetable_-_2022-03,Saturday Plus,5478__12013_Timetable_-_2022-03,Eastbound
a_14022_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Saturday Plus,5823__14022_Timetable_-_2022-03,Southbound
b_64012_Timetable_--_2022-04,403,1,0,Oshawa Centre Terminal,100.0.1046829277_Timetable_--_2022-04,Saturday,7800__64012_Timetable_--_2022-04,Northbound
b_3118_Timetable_--_2022-04,302,1,1,A - Whitby Station via Highway 407 Park and Ride,100.0.14332628115_Timetable_--_2022-04,Weekday,6466__3118_Timetable_--_2022-04,Southbound
b_14027_Timetable_--_2022-04,405,1,1,Oshawa Centre Terminal,100.0.1046829422_Timetable_--_2022-04,Weekday,5592__14027_Timetable_--_2022-04,Southbound
b_12010_Timetable_--_2022-04,916,1,1,Pickering Parkway Terminal,100.0.1046830329161_Timetable_--_2022-04,Weekday,9135__12010_Timetable_--_2022-04,Westbound
a_72903_Timetable_-_2022-03,900,1,0,Oshawa,100.0.11903138911_Timetable_-_2022-03,Sunday Minus,8779__72903_Timetable_-_2022-03,Eastbound
a_12905_Timetable_-_2022-03,915,1,1,Ajax Station,100.0.1046830191_Timetable_-_2022-03,Saturday Plus,6590__12905_Timetable_-_2022-03,Westbound
a_3624_Timetable_-_2022-03,302,1,1,Whitby Station,100.0.1433262815_Timetable_-_2022-03,Sunday Plus,7088__3624_Timetable_-_2022-03,Southbound
b_14909_Timetable_--_2022-04,900,1,0,Oshawa,100.0.11903138911_Timetable_--_2022-04,Weekday,8988__14909_Timetable_--_2022-04,Eastbound
b_72904_Timetable_--_2022-04,900,1,1,B - Pickering Town Centre,100.0.11522189610_Timetable_--_2022-04,Sunday,8241__72904_Timetable_--_2022-04,Westbound
b_3114_Timetable_--_2022-04,392,1,0,B - Whitby Station,100.0.1433266344_Timetable_--_2022-04,Weekday,8845__3114_Timetable_--_2022-04,Eastbound
b_72012_Timetable_--_2022-04,110,1,1,Sunbird Trail,100.0.1263064131_Timetable_--_2022-04,Sunday,7071__72012_Timetable_--_2022-04,Westbound
